"genus","condition","avg_abundance"
"Bryobacter","a",0.0333333333333333
"Bryobacter","b",0
"Bryocella","a",0.0666666666666667
"Bryocella","b",0
"Bulleidia","a",1.16666666666667
"Bulleidia","b",1.23333333333333
"Burkholderia","a",0.147222222222222
"Burkholderia","b",0.0958333333333333
"Butyricicoccus","a",705
"Butyricicoccus","b",796.833333333333
"Butyricimonas","a",214.466666666667
"Butyricimonas","b",132.011111111111
"Butyrivibrio","a",4.17317073170732
"Butyrivibrio","b",3.6260162601626
"Caballeronia","a",0.025
"Caballeronia","b",0.00833333333333333
"Caedibacter","a",0.1
"Caedibacter","b",0.0666666666666667
"Caenispirillum","a",0.633333333333333
"Caenispirillum","b",0.3
"Caldalkalibacillus","a",0.133333333333333
"Caldalkalibacillus","b",0.133333333333333
"Caldanaerobacter","a",0.133333333333333
"Caldanaerobacter","b",0.233333333333333
"Caldanaerobius","a",2.76666666666667
"Caldanaerobius","b",2.33333333333333
"Caldibacillus","a",0.2
"Caldibacillus","b",0.0666666666666667
"Caldicellulosiruptor","a",0.333333333333333
"Caldicellulosiruptor","b",0.445454545454545
"Caldicoprobacter","a",9.13333333333333
"Caldicoprobacter","b",9.5
"Caldilinea","a",0.0666666666666667
"Caldilinea","b",0
"Caldimonas","a",0.0333333333333333
"Caldimonas","b",0
"Caldisalinibacter","a",2.36666666666667
"Caldisalinibacter","b",2.56666666666667
"Calditerricola","a",0.2
"Calditerricola","b",0.366666666666667
"Calditerrivibrio","a",0.133333333333333
"Calditerrivibrio","b",0.266666666666667
"Caldithrix","a",0.2
"Caldithrix","b",0.233333333333333
"Calocera","a",0
"Calocera","b",0
"Caloramator","a",0.75
"Caloramator","b",0.8
"Caloranaerobacter","a",1.28333333333333
"Caloranaerobacter","b",1.23333333333333
"Calothrix","a",0.177777777777778
"Calothrix","b",0.155555555555556
"Caminibacter","a",0.0333333333333333
"Caminibacter","b",0
"Campylobacter","a",0.427450980392157
"Campylobacter","b",0.284313725490196
"Candidatus Accumulibacter","a",0.127777777777778
"Candidatus Accumulibacter","b",0.111111111111111
"Candidatus Adiutrix","a",0.0333333333333333
"Candidatus Adiutrix","b",0
"Candidatus Amoebophilus","a",0
"Candidatus Amoebophilus","b",0.1
"Candidatus Aquiluna","a",0.0666666666666667
"Candidatus Aquiluna","b",0.0333333333333333
"Candidatus Arthromitus","a",0.1
"Candidatus Arthromitus","b",0.0916666666666667
"Candidatus Atelocyanobacterium","a",0
"Candidatus Atelocyanobacterium","b",0.0666666666666667
"Candidatus Brocadia","a",0.0777777777777778
"Candidatus Brocadia","b",0.144444444444444
"Candidatus Cloacimonas","a",0.05
"Candidatus Cloacimonas","b",0.05
"Candidatus Competibacter","a",0.1
"Candidatus Competibacter","b",0
"Candidatus Desulfofervidus","a",0.1
"Candidatus Desulfofervidus","b",0.0333333333333333
"Candidatus Endobugula","a",0.0666666666666667
"Candidatus Endobugula","b",0.0333333333333333
"Candidatus Endolissoclinum","a",0.0666666666666667
"Candidatus Endolissoclinum","b",0
"Candidatus Entotheonella","a",0.316666666666667
"Candidatus Entotheonella","b",0.3
