"tax_asd","condition","patient_id","abundance"
"g__Subdoligranulum;s__Subdoligranulum variabile","b","103",1844
"g__Subdoligranulum;s__Subdoligranulum variabile","b","106",1715
"g__Subdoligranulum;s__Subdoligranulum variabile","b","111",1847
"g__Subdoligranulum;s__Subdoligranulum variabile","b","114",1757
"g__Subdoligranulum;s__Subdoligranulum variabile","b","115",751
"g__Subdoligranulum;s__Subdoligranulum variabile","b","120",2150
"g__Subdoligranulum;s__Subdoligranulum variabile","b","127",2015
"g__Subdoligranulum;s__Subdoligranulum variabile","b","132",2231
"g__Subdoligranulum;s__Subdoligranulum variabile","b","141",1926
"g__Subdoligranulum;s__Subdoligranulum variabile","b","142",1800
"g__Subdoligranulum;s__Subdoligranulum variabile","b","143",131
"g__Subdoligranulum;s__Subdoligranulum variabile","b","152",1733
