"genus","sample_id","abundance"
"Clostridium","B36",25
"Clostridium","B37",111
"Clostridium","B94",1828
"Clostridium","B99",47
"Clostridium","B103",1755
"Clostridium","B106",1286
"Clostridium","B111",302
"Clostridium","B114",1307
"Clostridium","B115",1938
"Clostridium","B120",1140
"Clostridium","B127",1518
"Clostridium","B132",583
"Clostridium","B141",1532
"Clostridium","B142",1467
"Clostridium","B143",1013
"Clostridium","B152",321
"Clostridium","B156",394
"Clostridium","B158",71
"Clostridium","B164",685
"Ruminococcus","A3",16
"Ruminococcus","A5",21
"Ruminococcus","A6",7
"Ruminococcus","A9",1359
"Ruminococcus","A31",180
"Ruminococcus","A51",67
"Ruminococcus","A52",67
"Ruminococcus","A53",1864
"Ruminococcus","A54",272
"Ruminococcus","A59",405
"Ruminococcus","A67",66
"Ruminococcus","A68",54
"Ruminococcus","A69",65
"Ruminococcus","A71",187
"Ruminococcus","A73",61
"Ruminococcus","A76",135
"Ruminococcus","A78",2288
"Ruminococcus","A87",17
"Ruminococcus","A89",980
"Ruminococcus","A93",1394
"Ruminococcus","A101",1925
"Ruminococcus","A109",68
"Ruminococcus","A113",2154
"Ruminococcus","A114",684
"Ruminococcus","A115",9
"Ruminococcus","A142",223
"Ruminococcus","A144",2182
"Ruminococcus","A149",141
"Ruminococcus","A164",2270
"Ruminococcus","A165",40
"Ruminococcus","B1",788
"Ruminococcus","B2",17
"Ruminococcus","B3",357
"Ruminococcus","B5",70
"Ruminococcus","B6",21
"Ruminococcus","B7",1456
"Ruminococcus","B8",10
"Ruminococcus","B13",384
"Ruminococcus","B14",5
"Ruminococcus","B28",14
"Ruminococcus","B29",20
"Ruminococcus","B36",23
"Ruminococcus","B37",27
"Ruminococcus","B94",17
"Ruminococcus","B99",54
"Ruminococcus","B103",2232
"Ruminococcus","B106",1317
"Ruminococcus","B111",2101
"Ruminococcus","B114",174
"Ruminococcus","B115",102
"Ruminococcus","B120",424
"Ruminococcus","B127",471
"Ruminococcus","B132",443
"Ruminococcus","B141",405
"Ruminococcus","B142",100
"Ruminococcus","B143",29
"Ruminococcus","B152",117
"Ruminococcus","B156",16
"Ruminococcus","B158",2063
"Ruminococcus","B164",28
"Flavonifractor","A3",2000
"Flavonifractor","A5",444
"Flavonifractor","A6",1987
"Flavonifractor","A9",626
"Flavonifractor","A31",1892
"Flavonifractor","A51",1662
"Flavonifractor","A52",235
"Flavonifractor","A53",316
"Flavonifractor","A54",1244
"Flavonifractor","A59",493
"Flavonifractor","A67",1815
"Flavonifractor","A68",428
"Flavonifractor","A69",2183
"Flavonifractor","A71",747
"Flavonifractor","A73",1199
"Flavonifractor","A76",1805
"Flavonifractor","A78",351
"Flavonifractor","A87",1785
"Flavonifractor","A89",1969
"Flavonifractor","A93",2276
"Flavonifractor","A101",1273
"Flavonifractor","A109",142
"Flavonifractor","A113",721
"Flavonifractor","A114",507
"Flavonifractor","A115",1792
"Flavonifractor","A142",541
"Flavonifractor","A144",581
"Flavonifractor","A149",1819
"Flavonifractor","A164",473
"Flavonifractor","A165",484
"Flavonifractor","B1",310
"Flavonifractor","B2",1954
"Flavonifractor","B3",2263
"Flavonifractor","B5",446
"Flavonifractor","B6",1665
"Flavonifractor","B7",1663
"Flavonifractor","B8",526
"Flavonifractor","B13",2238
"Flavonifractor","B14",1683
"Flavonifractor","B28",1716
"Flavonifractor","B29",459
"Flavonifractor","B36",297
"Flavonifractor","B37",1895
"Flavonifractor","B94",1868
"Flavonifractor","B99",1789
"Flavonifractor","B103",575
"Flavonifractor","B106",1919
"Flavonifractor","B111",1139
"Flavonifractor","B114",543
"Flavonifractor","B115",386
"Flavonifractor","B120",468
"Flavonifractor","B127",637
"Flavonifractor","B132",443
"Flavonifractor","B141",1768
"Flavonifractor","B142",1859
"Flavonifractor","B143",1655
"Flavonifractor","B152",1842
"Flavonifractor","B156",585
"Flavonifractor","B158",1772
"Flavonifractor","B164",167
"Subdoligranulum","A3",724
"Subdoligranulum","A5",1712
"Subdoligranulum","A6",244
"Subdoligranulum","A9",1930
"Subdoligranulum","A31",1734
"Subdoligranulum","A51",365
"Subdoligranulum","A52",353
"Subdoligranulum","A53",1786
"Subdoligranulum","A54",1656
"Subdoligranulum","A59",1960
"Subdoligranulum","A67",50
"Subdoligranulum","A68",861
"Subdoligranulum","A69",1293
"Subdoligranulum","A71",1775
"Subdoligranulum","A73",521
"Subdoligranulum","A76",1685
"Subdoligranulum","A78",1884
"Subdoligranulum","A87",238
"Subdoligranulum","A89",485
"Subdoligranulum","A93",256
"Subdoligranulum","A101",77
"Subdoligranulum","A109",424
"Subdoligranulum","A113",1218
"Subdoligranulum","A114",1864
"Subdoligranulum","A115",51
"Subdoligranulum","A142",1935
"Subdoligranulum","A144",1908
"Subdoligranulum","A149",998
"Subdoligranulum","A164",1192
"Subdoligranulum","A165",1977
"Subdoligranulum","B1",752
"Subdoligranulum","B2",1767
"Subdoligranulum","B3",1678
"Subdoligranulum","B5",1924
"Subdoligranulum","B6",1102
"Subdoligranulum","B7",1193
"Subdoligranulum","B8",90
"Subdoligranulum","B13",1884
"Subdoligranulum","B14",108
"Subdoligranulum","B28",239
"Subdoligranulum","B29",67
"Subdoligranulum","B36",114
"Subdoligranulum","B37",156
"Subdoligranulum","B94",186
"Subdoligranulum","B99",172
"Subdoligranulum","B103",1844
"Subdoligranulum","B106",1715
"Subdoligranulum","B111",1847
"Subdoligranulum","B114",1757
"Subdoligranulum","B115",751
"Subdoligranulum","B120",2150
"Subdoligranulum","B127",2015
"Subdoligranulum","B132",2231
"Subdoligranulum","B141",1926
"Subdoligranulum","B142",1800
"Subdoligranulum","B143",131
"Subdoligranulum","B152",1733
"Subdoligranulum","B156",1176
"Subdoligranulum","B158",734
"Subdoligranulum","B164",1913
"Clostridium","A3",536
"Clostridium","A5",9
"Clostridium","A6",9
"Clostridium","A9",2182
"Clostridium","A31",57
"Clostridium","A51",76
"Clostridium","A52",59
"Clostridium","A53",75
"Clostridium","A54",59
"Clostridium","A59",18
"Clostridium","A67",32
"Clostridium","A68",57
"Clostridium","A69",70
"Clostridium","A71",2106
"Clostridium","A73",56
"Clostridium","A76",79
"Clostridium","A78",77
"Clostridium","A87",187
"Clostridium","A89",2089
"Clostridium","A93",6
"Clostridium","A101",2115
"Clostridium","A109",58
"Clostridium","A113",70
"Clostridium","A114",2171
"Clostridium","A115",63
"Clostridium","A142",2165
"Clostridium","A144",45
"Clostridium","A149",66
"Clostridium","A164",64
"Clostridium","A165",57
"Clostridium","B1",1880
"Clostridium","B2",14
"Clostridium","B3",73
"Clostridium","B5",1506
"Clostridium","B6",21
"Clostridium","B7",21
"Clostridium","B8",18
"Clostridium","B13",1035
"Clostridium","B14",5
"Clostridium","B28",44
"Clostridium","B29",37
"Clostridium","B36",63
"Clostridium","B37",67
"Clostridium","B94",133
"Clostridium","B99",46
"Clostridium","B103",16
"Clostridium","B106",904
"Clostridium","B111",2109
"Clostridium","B114",2056
"Clostridium","B115",76
"Clostridium","B120",34
"Clostridium","B127",2160
"Clostridium","B132",2059
"Clostridium","B141",2010
"Clostridium","B142",917
"Clostridium","B143",70
"Clostridium","B152",34
"Clostridium","B156",26
"Clostridium","B158",79
"Clostridium","B164",40
"Clostridium","A3",20
"Clostridium","A5",19
"Clostridium","A6",4
"Clostridium","A9",58
"Clostridium","A31",39
"Clostridium","A51",15
"Clostridium","A52",32
"Clostridium","A53",35
"Clostridium","A54",30
"Clostridium","A59",45
"Clostridium","A67",22
"Clostridium","A68",16
"Clostridium","A69",17
"Clostridium","A71",62
"Clostridium","A73",7
"Clostridium","A76",39
"Clostridium","A78",23
"Clostridium","A87",31
"Clostridium","A89",20
"Clostridium","A93",24
"Clostridium","A101",32
"Clostridium","A109",8
"Clostridium","A113",21
"Clostridium","A114",36
"Clostridium","A115",10
"Clostridium","A142",71
"Clostridium","A144",61
"Clostridium","A149",26
"Clostridium","A164",30
"Clostridium","A165",2142
"Clostridium","B1",30
"Clostridium","B2",19
"Clostridium","B3",23
"Clostridium","B5",43
"Clostridium","B6",25
"Clostridium","B7",18
"Clostridium","B8",38
"Clostridium","B13",31
"Clostridium","B14",12
"Clostridium","B28",37
"Clostridium","B29",8
"Clostridium","B36",18
"Clostridium","B37",23
"Clostridium","B94",19
"Clostridium","B99",13
"Clostridium","B103",45
"Clostridium","B106",27
"Clostridium","B111",72
"Clostridium","B114",50
"Clostridium","B115",26
